# File: A_agRegionalSector.csv,,,,,
# Title: Supplysector assumptions for regional crop markets (including logit exponent for subsector competition),,,,,
# Units: Various,,,,,
# Comments: These sectors compete domestic production and imports from the globally traded markets,,,,,
# Source: NA,,,,,
# Column types: ccccnc,,,,,
# ----------,,,,,
supplysector,output.unit,input.unit,price.unit,logit.exponent,logit.type
regional corn,Mt,Mt,1975$/kg,-30,
regional fibercrop,Mt,Mt,1975$/kg,-30,
regional misccrop,Mt,Mt,1975$/kg,-30,
regional oilcrop,Mt,Mt,1975$/kg,-30,
regional othergrain,Mt,Mt,1975$/kg,-30,
regional palmfruit,Mt,Mt,1975$/kg,-30,
regional rice,Mt,Mt,1975$/kg,-30,
regional root_tuber,Mt,Mt,1975$/kg,-30,
regional sugarcrop,Mt,Mt,1975$/kg,-30,
regional wheat,Mt,Mt,1975$/kg,-30,
regional beef,Mt,Mt,1975$/kg,-30,
regional dairy,Mt,Mt,1975$/kg,-30,
regional pork,Mt,Mt,1975$/kg,-30,
regional poultry,Mt,Mt,1975$/kg,-30,
regional sheepgoat,Mt,Mt,1975$/kg,-30,
