# File: A_agTradedSector.csv
# Title: Supplysector assumptions for traded agricultural markets (including logit exponent for subsector competition)
# Units: Various
# Comments: These sectors compete different regions in supplying the pool of globally traded crops (source: GTAP)
# Source: NA
# Column types: ccccinc
# ----------
supplysector,output.unit,input.unit,price.unit,traded,logit.exponent,logit.type
traded corn,Mt,Mt,1975$/kg,1,-30,
traded fibercrop,Mt,Mt,1975$/kg,1,-30,
traded misccrop,Mt,Mt,1975$/kg,1,-30,
traded oilcrop,Mt,Mt,1975$/kg,1,-30,
traded othergrain,Mt,Mt,1975$/kg,1,-30,
traded palmfruit,Mt,Mt,1975$/kg,1,-30,
traded rice,Mt,Mt,1975$/kg,1,-30,
traded roottuber,Mt,Mt,1975$/kg,1,-30,
traded sugarcrop,Mt,Mt,1975$/kg,1,-30,
traded wheat,Mt,Mt,1975$/kg,1,-30,
traded beef,Mt,Mt,1975$/kg,1,-30,
traded dairy,Mt,Mt,1975$/kg,1,-30,
traded pork,Mt,Mt,1975$/kg,1,-30,
traded poultry,Mt,Mt,1975$/kg,1,-30,
traded sheepgoat,Mt,Mt,1975$/kg,1,-30,
traded forest,billion m3,billion m3,1975$/m3,1,-5,
